date,trip_count,avg_trip_minutes,member_trips,casual_trips,ADPT,ASLP,ASTP,AWBT,AWND,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WT09
2022-01-01,20428,32.92466304745121,14040,6388,100.0,10078.0,10078.0,106.0,2.8,19.3,89.0,83.0,93.0,0.0,0.0,11.6,13.9,10.0,200.0,200.0,6.3,7.6,1.0,,,,,,
2022-01-02,43009,39.52875276143753,31016,11993,67.0,10051.0,10024.0,83.0,4.3,1.0,80.0,63.0,93.0,0.0,0.0,11.4,15.6,3.9,310.0,310.0,12.5,14.8,1.0,,,,,,
2022-01-03,33189,42.55643763345285,28717,4472,-100.0,10196.0,10169.0,-39.0,6.4,0.0,49.0,38.0,62.0,0.0,0.0,1.4,3.9,-4.3,340.0,350.0,12.5,15.2,,,,,,,
2022-01-04,36842,49.94331475580406,31669,5173,-117.0,10281.0,10268.0,-44.0,3.9,0.0,48.0,35.0,60.0,0.0,0.0,-2.7,2.2,-6.0,320.0,350.0,8.9,12.1,,,,,,,
2022-01-05,34230,35.11444932028435,29313,4917,6.0,10132.0,10139.0,33.0,3.4,6.1,76.0,52.0,86.0,0.0,0.0,3.2,8.9,0.0,250.0,200.0,6.7,10.7,1.0,,,,,1.0,
2022-01-06,44787,29.77198753693408,38231,6556,-72.0,10115.0,10095.0,0.0,5.0,0.0,45.0,33.0,73.0,0.0,0.0,4.9,6.1,2.2,290.0,270.0,12.5,14.8,,,,,,,
2022-01-07,17401,42.64554581920579,15068,2333,-67.0,10125.0,10102.0,-22.0,8.3,8.4,63.0,44.0,88.0,246.0,200.0,0.7,2.2,-2.1,300.0,290.0,13.0,17.4,1.0,,,,,,
2022-01-08,24455,47.07671009882097,20427,4028,-139.0,10332.0,10305.0,-56.0,4.8,0.0,43.0,30.0,55.0,0.0,130.0,-2.5,0.0,-4.9,310.0,300.0,12.5,15.7,,,,,,,
2022-01-09,21479,37.01781238496516,17967,3512,-33.0,10224.0,10230.0,6.0,4.9,2.8,65.0,41.0,83.0,0.0,80.0,1.4,5.6,-1.0,210.0,210.0,9.4,12.1,,,,,,,
2022-01-10,34727,32.152228413050366,30773,3954,-111.0,10196.0,10173.0,-33.0,7.5,0.0,44.0,33.0,65.0,0.0,0.0,1.6,5.6,-3.2,310.0,320.0,11.6,15.7,,,,,,,
2022-01-11,26824,29.43676339223581,24119,2705,-178.0,10312.0,10288.0,-89.0,6.4,0.0,41.0,33.0,57.0,0.0,0.0,-5.4,-3.2,-8.2,320.0,310.0,12.5,16.5,,,,,,,
2022-01-12,40568,28.33706308749096,35577,4991,-106.0,10224.0,10224.0,-28.0,4.4,0.0,44.0,36.0,55.0,0.0,0.0,-1.9,5.6,-6.6,220.0,220.0,8.9,11.2,,,,,,,
2022-01-13,50572,17.110270120817844,43228,7344,-22.0,10149.0,10146.0,17.0,2.6,0.0,64.0,46.0,79.0,0.0,0.0,4.0,7.8,0.6,50.0,60.0,5.8,7.6,,,,,,,
2022-01-14,45714,18.32092296451853,38897,6817,-33.0,10098.0,10081.0,6.0,7.6,0.0,64.0,57.0,82.0,0.0,0.0,4.8,6.1,-5.5,350.0,360.0,13.4,18.3,,,,,,,
2022-01-15,22839,18.593184066727968,19413,3426,-178.0,10247.0,10217.0,-106.0,5.8,0.0,48.0,34.0,62.0,0.0,0.0,-6.7,-5.5,-10.5,330.0,330.0,10.7,13.9,,,,,,,
2022-01-16,20930,18.656597906513777,17662,3268,-111.0,10237.0,10217.0,-67.0,5.5,9.1,66.0,46.0,89.0,15.0,0.0,-8.0,4.4,-12.1,50.0,80.0,10.3,13.0,1.0,,,,,,
2022-01-17,29084,14.222136565923991,25010,4074,-11.0,9895.0,9895.0,22.0,8.6,26.9,69.0,50.0,89.0,0.0,0.0,3.9,7.8,1.7,60.0,60.0,16.1,19.2,1.0,,,,,1.0,
2022-01-18,42935,14.719666712860526,37837,5098,-94.0,10119.0,10081.0,-22.0,8.4,0.0,45.0,33.0,54.0,0.0,0.0,1.8,3.3,-0.5,310.0,300.0,14.8,19.2,,,,,,,
2022-01-19,54011,14.177843636790035,46684,7327,-56.0,10176.0,10169.0,11.0,4.7,0.0,46.0,33.0,61.0,0.0,0.0,3.2,10.6,-1.6,200.0,200.0,9.4,13.0,,,,,,1.0,
2022-01-20,33928,14.674509433702744,29681,4247,-56.0,10210.0,10179.0,-6.0,5.4,6.4,60.0,40.0,85.0,8.0,0.0,5.1,8.3,-4.9,350.0,340.0,9.8,12.1,1.0,,,,,,
2022-01-21,33598,13.462414738972557,29676,3922,-178.0,10335.0,10318.0,-94.0,6.2,0.0,43.0,38.0,51.0,0.0,0.0,-6.0,-4.9,-9.3,10.0,20.0,11.2,13.9,,,,,,,
2022-01-22,31969,16.54076244434713,26573,5396,-150.0,10264.0,10268.0,-72.0,3.4,0.0,46.0,35.0,53.0,0.0,0.0,-5.9,-1.0,-9.9,20.0,30.0,7.2,8.9,,,,,,,
2022-01-23,32967,15.52248379844491,27197,5770,-117.0,10122.0,10122.0,-33.0,4.2,0.3,44.0,29.0,79.0,5.0,0.0,-0.7,3.3,-3.2,240.0,270.0,8.9,12.1,,,,,,1.0,
2022-01-24,41488,12.191862688809616,36836,4652,-67.0,10115.0,10102.0,-22.0,3.6,0.0,61.0,52.0,73.0,5.0,0.0,-0.2,3.3,-2.1,190.0,340.0,6.7,8.5,,,,,,1.0,
2022-01-25,50692,12.697039755780004,44454,6238,-56.0,10146.0,10119.0,0.0,4.7,0.0,54.0,41.0,65.0,0.0,0.0,3.6,6.1,-1.0,300.0,200.0,9.4,12.5,,,,,,1.0,
2022-01-26,42005,12.533845233900728,37328,4677,-161.0,10274.0,10251.0,-67.0,5.6,0.0,38.0,29.0,53.0,0.0,0.0,-2.3,-1.0,-6.0,320.0,320.0,10.7,14.3,,,,,,,
2022-01-27,43830,12.513118249296523,38701,5129,-139.0,10288.0,10284.0,-61.0,3.7,0.0,44.0,36.0,54.0,0.0,0.0,-4.2,0.0,-7.7,160.0,180.0,7.6,9.4,,,,,,,
2022-01-28,34871,13.080735049181268,30938,3933,-61.0,10193.0,10190.0,-22.0,3.5,2.8,67.0,38.0,85.0,33.0,0.0,0.1,1.7,-1.0,30.0,30.0,8.1,11.2,1.0,,,,,1.0,
2022-01-29,2848,31.679609234550565,2350,498,-122.0,10061.0,10054.0,-78.0,10.2,12.4,66.0,39.0,88.0,206.0,130.0,-4.8,-1.0,-9.3,340.0,350.0,14.3,20.6,1.0,,,,,1.0,1.0
2022-01-30,9486,26.220889315833865,8396,1090,-161.0,10163.0,10135.0,-83.0,6.1,0.0,45.0,37.0,54.0,0.0,180.0,-7.1,-2.7,-9.9,310.0,310.0,12.5,16.5,,,,,,,
2022-01-31,22349,17.07234280803019,20235,2114,-128.0,10278.0,10254.0,-56.0,2.9,0.0,48.0,39.0,60.0,0.0,150.0,-3.4,-1.0,-7.1,50.0,60.0,4.5,7.2,,,,,,,
2022-02-01,29338,16.408870675119868,26406,2932,-83.0,10335.0,10322.0,-33.0,3.4,0.0,56.0,47.0,70.0,0.0,130.0,-1.7,2.8,-4.3,60.0,60.0,6.7,9.4,,,,,,,
2022-02-02,41947,15.44623845845154,37094,4853,0.0,10298.0,10295.0,17.0,2.3,0.0,79.0,70.0,89.0,0.0,100.0,2.3,5.6,-0.5,40.0,60.0,4.5,5.8,1.0,,,,,1.0,
2022-02-03,26568,19.39161416491017,23390,3178,50.0,10224.0,10224.0,61.0,2.6,10.7,87.0,86.0,92.0,0.0,50.0,6.4,8.9,3.9,190.0,170.0,4.5,6.3,1.0,1.0,,,,1.0,
2022-02-04,20309,14.6355022141251,18054,2255,6.0,10129.0,10112.0,22.0,5.3,18.8,81.0,72.0,87.0,0.0,0.0,5.8,12.8,-2.1,310.0,320.0,10.7,12.5,1.0,,,,1.0,,
2022-02-05,29638,13.523175037676856,24878,4760,-111.0,10251.0,10217.0,-56.0,7.9,0.0,56.0,46.0,75.0,0.0,0.0,-2.8,-1.6,-6.0,310.0,300.0,13.0,16.1,,,,,,,
2022-02-06,28887,15.309483133704896,24207,4680,-122.0,10356.0,10342.0,-61.0,3.2,0.0,52.0,37.0,69.0,0.0,0.0,-4.8,0.0,-8.2,180.0,180.0,6.3,8.1,,,,,,,
2022-02-07,30717,11.9096401818754,27736,2981,-11.0,10240.0,10247.0,6.0,3.1,3.8,84.0,72.0,89.0,0.0,0.0,0.5,4.4,-0.5,40.0,50.0,5.8,7.6,1.0,,,1.0,,1.0,
2022-02-08,51893,12.817004983331085,45666,6227,-28.0,10139.0,10122.0,11.0,5.7,2.0,62.0,42.0,86.0,0.0,0.0,4.1,8.3,1.1,310.0,310.0,11.6,14.3,1.0,,,,,,
